title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
Beat up That Dork on W. Little York - Screwed & Chopped,Pollie Pop,0.934,0.177,9,-11.207,1,0.0848,0.212,0.639,0.131,0.345,121.489,n,3ZEOwEZZpi5K0Vzvzywf8E,spotify:track:3ZEOwEZZpi5K0Vzvzywf8E,https://api.spotify.com/v1/tracks/3ZEOwEZZpi5K0Vzvzywf8E,https://api.spotify.com/v1/audio-analysis/3ZEOwEZZpi5K0Vzvzywf8E,174513,4,8
Striving for Days on Hayes - Screwed & Chopped,Pollie Pop,0.564,0.442,5,-9.953,0,0.0785,0.297,0.801,0.103,0.037,200.968,n,41HsoYvwxB47sYx8oleWOf,spotify:track:41HsoYvwxB47sYx8oleWOf,https://api.spotify.com/v1/tracks/41HsoYvwxB47sYx8oleWOf,https://api.spotify.com/v1/audio-analysis/41HsoYvwxB47sYx8oleWOf,114737,1,8
Push - Kebab & Cream Club Mix,Eric Redd,0.766,0.91,5,-4.215,0,0.0406,0.00077,0.0157,0.057,0.448,126.002,n,6GGlcaYztPiq4dp4jRLGvO,spotify:track:6GGlcaYztPiq4dp4jRLGvO,https://api.spotify.com/v1/tracks/6GGlcaYztPiq4dp4jRLGvO,https://api.spotify.com/v1/audio-analysis/6GGlcaYztPiq4dp4jRLGvO,343333,4,2
Push - Big Chief C Club Mix,Eric Redd,0.791,0.715,0,-10.527,1,0.0373,7.43e-05,0.413,0.0274,0.52,125.008,n,31B3VnFGhyvbHY2a4suNpp,spotify:track:31B3VnFGhyvbHY2a4suNpp,https://api.spotify.com/v1/tracks/31B3VnFGhyvbHY2a4suNpp,https://api.spotify.com/v1/audio-analysis/31B3VnFGhyvbHY2a4suNpp,341760,4,7
Push - Robert Eibach Anthem Mix,Eric Redd,0.729,0.593,1,-7.981,1,0.0485,0.000703,0.0251,0.0723,0.865,128.005,n,3tF3le3GDYAwS6WEhBR1D0,spotify:track:3tF3le3GDYAwS6WEhBR1D0,https://api.spotify.com/v1/tracks/3tF3le3GDYAwS6WEhBR1D0,https://api.spotify.com/v1/audio-analysis/3tF3le3GDYAwS6WEhBR1D0,363750,4,7
Push - Robert Eibach Anthem Dub Mix,Eric Redd,0.722,0.534,1,-8.385,1,0.0632,0.000617,0.103,0.0697,0.732,128.012,n,5dJ1mOzK4zmQQdBYm9bcwz,spotify:track:5dJ1mOzK4zmQQdBYm9bcwz,https://api.spotify.com/v1/tracks/5dJ1mOzK4zmQQdBYm9bcwz,https://api.spotify.com/v1/audio-analysis/5dJ1mOzK4zmQQdBYm9bcwz,363750,4,7
Mr T Flow,Junipgene,0.776,0.535,11,-8.184,1,0.574,0.154,0.0,0.384,0.28,143.031,n,5W1w5A4O8jz411NiqryRLF,spotify:track:5W1w5A4O8jz411NiqryRLF,https://api.spotify.com/v1/tracks/5W1w5A4O8jz411NiqryRLF,https://api.spotify.com/v1/audio-analysis/5W1w5A4O8jz411NiqryRLF,202357,4,0
Beachbilly,Kyle Coulahan,0.61,0.868,2,-6.521,1,0.0304,0.0341,0.0,0.179,0.858,99.986,n,4MSa4DfAcRkrwoKk0Im1OD,spotify:track:4MSa4DfAcRkrwoKk0Im1OD,https://api.spotify.com/v1/tracks/4MSa4DfAcRkrwoKk0Im1OD,https://api.spotify.com/v1/audio-analysis/4MSa4DfAcRkrwoKk0Im1OD,195000,4,7
Leave Me Behind,Faith in Failure,0.346,0.991,8,-1.589,1,0.108,4.57e-05,0.00852,0.328,0.311,175.037,n,7F3swuXNYGyXnAc10ZRW1L,spotify:track:7F3swuXNYGyXnAc10ZRW1L,https://api.spotify.com/v1/tracks/7F3swuXNYGyXnAc10ZRW1L,https://api.spotify.com/v1/audio-analysis/7F3swuXNYGyXnAc10ZRW1L,278743,4,9
The Second Part,Faith in Failure,0.595,0.91,1,-4.25,1,0.0352,0.0311,1.3e-05,0.119,0.223,105.0,n,03YsXDLDwx32Bc7N900w8z,spotify:track:03YsXDLDwx32Bc7N900w8z,https://api.spotify.com/v1/tracks/03YsXDLDwx32Bc7N900w8z,https://api.spotify.com/v1/audio-analysis/03YsXDLDwx32Bc7N900w8z,245002,4,7
Crossfire,Black Cats,0.672,0.789,2,-4.975,1,0.0293,8.72e-05,0.856,0.124,0.482,129.987,n,1My0nYvQeG40PogVqRqDpq,spotify:track:1My0nYvQeG40PogVqRqDpq,https://api.spotify.com/v1/tracks/1My0nYvQeG40PogVqRqDpq,https://api.spotify.com/v1/audio-analysis/1My0nYvQeG40PogVqRqDpq,170000,4,8
Childhood,Lil E,0.782,0.629,6,-7.59,0,0.299,0.185,0.0,0.0564,0.504,136.058,n,18jUyqlITihV3KYSI3Zlza,spotify:track:18jUyqlITihV3KYSI3Zlza,https://api.spotify.com/v1/tracks/18jUyqlITihV3KYSI3Zlza,https://api.spotify.com/v1/audio-analysis/18jUyqlITihV3KYSI3Zlza,104386,3,6
Problem (feat. Murph G),Lil E,0.368,0.625,2,-7.376,1,0.449,0.16,0.0,0.291,0.164,199.554,n,2XIEYecS7SEugpTPm5ZFiT,spotify:track:2XIEYecS7SEugpTPm5ZFiT,https://api.spotify.com/v1/tracks/2XIEYecS7SEugpTPm5ZFiT,https://api.spotify.com/v1/audio-analysis/2XIEYecS7SEugpTPm5ZFiT,188475,4,0
Hate,Lil E,0.4,0.754,7,-5.955,1,0.0885,0.223,0.0,0.527,0.248,146.475,n,2ZiMQKIieJ7GTRYnO8fP8p,spotify:track:2ZiMQKIieJ7GTRYnO8fP8p,https://api.spotify.com/v1/tracks/2ZiMQKIieJ7GTRYnO8fP8p,https://api.spotify.com/v1/audio-analysis/2ZiMQKIieJ7GTRYnO8fP8p,278520,4,9
Solid (feat. D Bo & Kevin Gates),Lil E,0.568,0.697,11,-4.623,0,0.41,0.109,1.24e-06,0.337,0.659,140.615,n,4d7qQsVP0BKNbmLf7IS54K,spotify:track:4d7qQsVP0BKNbmLf7IS54K,https://api.spotify.com/v1/tracks/4d7qQsVP0BKNbmLf7IS54K,https://api.spotify.com/v1/audio-analysis/4d7qQsVP0BKNbmLf7IS54K,253755,4,6
I Deserve Ya,Lil E,0.709,0.573,0,-8.123,1,0.402,0.509,0.0,0.087,0.74,137.292,n,2vR3F9LE8kUr2IUyoN7VPr,spotify:track:2vR3F9LE8kUr2IUyoN7VPr,https://api.spotify.com/v1/tracks/2vR3F9LE8kUr2IUyoN7VPr,https://api.spotify.com/v1/audio-analysis/2vR3F9LE8kUr2IUyoN7VPr,168177,4,0
